name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL,others
"@webassemblyjs/helper-buffer@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/helper-code-frame@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/helper-code-frame@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/helper-fsm@1.8.5","ISC",-,-,-,Javascript,-,-,-,
"@webassemblyjs/helper-fsm@1.9.0","ISC",-,-,-,Javascript,-,-,-,
"@webassemblyjs/helper-module-context@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/helper-module-context@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/helper-wasm-bytecode@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/helper-wasm-bytecode@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/helper-wasm-section@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/helper-wasm-section@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/ieee754@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/ieee754@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/leb128@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/leb128@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/utf8@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/utf8@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wasm-edit@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wasm-edit@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wasm-gen@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wasm-gen@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wasm-opt@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wasm-opt@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wasm-parser@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wasm-parser@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wast-parser@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wast-parser@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wast-printer@1.8.5","MIT",-,-,-,Javascript,-,-,-,
"@webassemblyjs/wast-printer@1.9.0","MIT",-,-,-,Javascript,-,-,-,
"@xtuc/ieee754@1.2.0","BSD-3-Clause",-,-,-,Javascript,-,-,-,
"@xtuc/long@4.2.2","Apache-2.0",-,-,-,Javascript,-,-,-,
"@yarnpkg/lockfile@1.1.0","BSD-2-Clause",-,-,-,Javascript,-,-,-,
"JSONStream@1.3.5","(MIT OR Apache-2.0)",-,-,-,Javascript,-,-,-,
"accepts@1.3.7","MIT",-,-,-,Javascript,-,-,-,
"acorn@6.4.1","MIT",-,-,-,Javascript,-,-,-,
"adm-zip@0.4.14","MIT",-,-,-,Javascript,-,-,-,
"after@0.8.2","MIT",-,-,-,Javascript,-,-,-,
"agent-base@4.2.1","MIT",-,-,-,Javascript,-,-,-,
"agent-base@4.3.0","MIT",-,-,-,Javascript,-,-,-,
"agentkeepalive@3.5.2","MIT",-,-,-,Javascript,-,-,-,
"ajv-errors@1.0.1","MIT",-,-,-,Javascript,-,-,-,
"ajv-keywords@3.4.1","MIT",-,-,-,Javascript,-,-,-,
"ajv@6.10.0","MIT",-,-,-,Javascript,-,-,-,
"ajv@6.10.2","MIT",-,-,-,Javascript,-,-,-,
"ajv@6.12.0","MIT",-,-,-,Javascript,-,-,-,
"ajv@6.12.2","MIT",-,-,-,Javascript,-,-,-,
"amdefine@1.0.1","BSD-3-Clause OR MIT",-,-,-,Javascript,-,-,-,
"angular-datatables@9.0.2","MIT",-,-,-,Javascript,-,-,-,
"angular2-template-loader@0.6.2","MIT",-,-,-,Javascript,-,-,-,
"ansi-colors@3.2.4","MIT",-,-,-,Javascript,-,-,-,
"ansi-colors@4.1.1","MIT",-,-,-,Javascript,-,-,-,
"ansi-escapes@3.2.0","MIT",-,-,-,Javascript,-,-,-,
"ansi-escapes@4.3.1","MIT",-,-,-,Javascript,-,-,-,
"ansi-html@0.0.7","Apache-2.0",-,-,-,Javascript,-,-,-,
"ansi-regex@2.1.1","MIT",-,-,-,Javascript,-,-,-,
"ansi-regex@3.0.0","MIT",-,-,-,Javascript,-,-,-,
"ansi-regex@4.1.0","MIT",-,-,-,Javascript,-,-,-,
"ansi-regex@4.1.1","MIT",-,-,-,Javascript,-,-,-,
"ansi-regex@5.0.0","MIT",-,-,-,Javascript,-,-,-,
"ansi-styles@2.2.1","MIT",-,-,-,Javascript,-,-,-,
"ansi-styles@3.2.1","MIT",-,-,-,Javascript,-,-,-,
"ansi-styles@4.2.1","MIT",-,-,-,Javascript,-,-,-,
"anymatch@2.0.0","ISC",-,-,-,Javascript,-,-,-,
"anymatch@3.1.1","ISC",-,-,-,Javascript,-,-,-,
"app-root-path@2.2.1","MIT",-,-,-,Javascript,-,-,-,
"append-transform@1.0.0","MIT",-,-,-,Javascript,-,-,-,
"aproba@1.2.0","ISC",-,-,-,Javascript,-,-,-,
"arg@4.1.3","MIT",-,-,-,Javascript,-,-,-,
"argparse@1.0.10","MIT",-,-,-,Javascript,-,-,-,
"aria-query@3.0.0","Apache-2.0",-,-,-,Javascript,-,-,-,
"arr-diff@4.0.0","MIT",-,-,-,Javascript,-,-,-,
"arr-flatten@1.1.0","MIT",-,-,-,Javascript,-,-,-,
"arr-union@3.1.0","MIT",-,-,-,Javascript,-,-,-,
"array-flatten@1.1.1","MIT",-,-,-,Javascript,-,-,-,
"array-flatten@2.1.2","MIT",-,-,-,Javascript,-,-,-,
"array-union@1.0.2","MIT",-,-,-,Javascript,-,-,-,
"array-uniq@1.0.3","MIT",-,-,-,Javascript,-,-,-,
"array-unique@0.3.2","MIT",-,-,-,Javascript,-,-,-,
"arraybuffer.slice@0.0.7","MIT",-,-,-,Javascript,-,-,-,
"arrify@1.0.1","MIT",-,-,-,Javascript,-,-,-,
"asap@2.0.6","MIT",-,-,-,Javascript,-,-,-,
"asn1.js@4.10.1","MIT",-,-,-,Javascript,-,-,-,
"asn1@0.2.4","MIT",-,-,-,Javascript,-,-,-,
"assert-plus@1.0.0","MIT",-,-,-,Javascript,-,-,-,
"assert@1.5.0","MIT",-,-,-,Javascript,-,-,-,
"assign-symbols@1.0.0","MIT",-,-,-,Javascript,-,-,-,
"ast-types-flow@0.0.7","ISC",-,-,-,Javascript,-,-,-,
"async-each@1.0.3","MIT",-,-,-,Javascript,-,-,-,
"async-limiter@1.0.1","MIT",-,-,-,Javascript,-,-,-,
"async@2.6.3","MIT",-,-,-,Javascript,-,-,-,
"asynckit@0.4.0","MIT",-,-,-,Javascript,-,-,-,
"atob@2.1.2","(MIT OR Apache-2.0)",-,-,-,Javascript,-,-,-,
"autoprefixer@9.6.1","MIT",-,-,-,Javascript,-,-,-,
"aws-sign2@0.7.0","Apache-2.0",-,-,-,Javascript,-,-,-,
"aws4@1.9.1","MIT",-,-,-,Javascript,-,-,-,
"axobject-query@2.0.2","Apache-2.0",-,-,-,Javascript,-,-,-,
"babel-code-frame@6.26.0","MIT",-,-,-,Javascript,-,-,-,
"babel-plugin-dynamic-import-node@2.3.0","MIT",-,-,-,Javascript,-,-,-,
"backo2@1.0.2","MIT",-,-,-,Javascript,-,-,-,
"balanced-match@1.0.0","MIT",-,-,-,Javascript,-,-,-,
"base64-arraybuffer@0.1.5","MIT",-,-,-,Javascript,-,-,-,
"base64-js@1.3.1","MIT",-,-,-,Javascript,-,-,-,
"base64id@1.0.0","MIT",-,-,-,Javascript,-,-,-,
"base@0.11.2","MIT",-,-,-,Javascript,-,-,-,
"batch@0.6.1","MIT",-,-,-,Javascript,-,-,-,
"bcrypt-pbkdf@1.0.2","BSD-3-Clause",-,-,-,Javascript,-,-,-,
"better-assert@1.0.2","MIT*",-,-,-,Javascript,-,-,-,
"big.js@3.2.0","MIT",-,-,-,Javascript,-,-,-,
"big.js@5.2.2","MIT",-,-,-,Javascript,-,-,-,
"binary-extensions@1.13.1","MIT",-,-,-,Javascript,-,-,-,
"binary-extensions@2.0.0","MIT",-,-,-,Javascript,-,-,-,
"blob@0.0.5","MIT",-,-,-,Javascript,-,-,-,
"blocking-proxy@1.0.1","MIT",-,-,-,Javascript,-,-,-,
"bluebird@3.7.2","MIT",-,-,-,Javascript,-,-,-,
"bn.js@4.11.9","MIT",-,-,-,Javascript,-,-,-,
"bn.js@5.1.2","MIT",-,-,-,Javascript,-,-,-,
"body-parser@1.19.0","MIT",-,-,-,Javascript,-,-,-,
"bonjour@3.5.0","MIT",-,-,-,Javascript,-,-,-,
"boolbase@1.0.0","ISC",-,-,-,Javascript,-,-,-,
"bootstrap@4.5.0","MIT",-,-,-,Javascript,-,-,-,
"brace-expansion@1.1.11","MIT",-,-,-,Javascript,-,-,-,
"braces@2.3.2","MIT",-,-,-,Javascript,-,-,-,
"braces@3.0.2","MIT",-,-,-,Javascript,-,-,-,
"brorand@1.1.0","MIT",-,-,-,Javascript,-,-,-,
"browserify-aes@1.2.0","MIT",-,-,-,Javascript,-,-,-,
"browserify-cipher@1.0.1","MIT",-,-,-,Javascript,-,-,-,
"browserify-des@1.0.2","MIT",-,-,-,Javascript,-,-,-,
"browserify-rsa@4.0.1","MIT",-,-,-,Javascript,-,-,-,
"browserify-sign@4.2.0","ISC",-,-,-,Javascript,-,-,-,
"browserify-zlib@0.2.0","MIT",-,-,-,Javascript,-,-,-,
"browserslist@4.10.0","MIT",-,-,-,Javascript,-,-,-,
"browserslist@4.11.0","MIT",-,-,-,Javascript,-,-,-,
"browserslist@4.8.6","MIT",-,-,-,Javascript,-,-,-,
"browserstack@1.6.0","MIT",-,-,-,Javascript,-,-,-,
"buffer-alloc-unsafe@1.1.0","MIT",-,-,-,Javascript,-,-,-,
"buffer-alloc@1.2.0","MIT",-,-,-,Javascript,-,-,-,
"buffer-fill@1.0.0","MIT",-,-,-,Javascript,-,-,-,
"buffer-from@1.1.1","MIT",-,-,-,Javascript,-,-,-,
"buffer-indexof@1.1.1","MIT",-,-,-,Javascript,-,-,-,
"buffer-xor@1.0.3","MIT",-,-,-,Javascript,-,-,-,
"buffer@4.9.2","MIT",-,-,-,Javascript,-,-,-,
"builtin-modules@1.1.1","MIT",-,-,-,Javascript,-,-,-,
"builtin-status-codes@3.0.0","MIT",-,-,-,Javascript,-,-,-,
"builtins@1.0.3","MIT",-,-,-,Javascript,-,-,-,
"bytes@3.0.0","MIT",-,-,-,Javascript,-,-,-,
"bytes@3.1.0","MIT",-,-,-,Javascript,-,-,-,
"cacache@11.3.3","ISC",-,-,-,Javascript,-,-,-,
"cacache@12.0.2","ISC",-,-,-,Javascript,-,-,-,
"cacache@12.0.3","ISC",-,-,-,Javascript,-,-,-,
"cache-base@1.0.1","MIT",-,-,-,Javascript,-,-,-,
